cand_id,elected_via,area_district,incumbent,list_state,list_no,gender,birthyear,mean_share_mp,mean_distance,n
15,Direct,6606.883218577226,0,Schleswig-Holstein,10,male,1952,0.8,20.6875,80
82,List,11315.914798841355,0,Niedersachsen,3,male,1965,0.18840579710144928,76.64492753623189,138
119,List,1446.3455230851375,0,Baden-Württemberg,3,female,1982,0.54,56.8725,400
141,List,8299.632941071675,1,Niedersachsen,6,male,1968,0.8164335664335665,28.424825174825173,572
199,List,4620.076005082663,0,Baden-Württemberg,7,female,1965,0.509009009009009,37.031531531531535,222
206,Direct,2687.2411164402356,0,Hessen,21,male,1972,0.6358024691358025,59.870370370370374,162
244,Direct,49520.49846518752,0,Mecklenburg-Vorpommern,6,male,1992,0.6895306859205776,82.54151624548736,277
246,List,1424.9583366377014,1,Schleswig-Holstein,1,female,1984,0.5645161290322581,121.43548387096774,62
280,Direct,497.3026168085664,1,Hamburg,4,male,1973,0.8808664259927798,23.3086642599278,554
390,List,21556.816543515586,0,Schleswig-Holstein,3,female,1959,0.5454545454545454,51.88429752066116,121
424,Direct,30333.1834332131,1,Bayern,38,male,1963,0.8781869688385269,13.671388101983004,353
439,Direct,14682.636623862081,0,Bayern,NA,male,1976,0.8568075117370892,10.45774647887324,426
524,List,9993.58446508411,0,Bayern,11,female,1983,0.5894495412844036,46.81880733944954,436
528,List,6405.513253731303,1,Baden-Württemberg,13,female,1955,0.7296511627906976,32.56104651162791,344
530,List,6703.896938307044,1,Brandenburg,1,female,1980,0.14285714285714285,264.484126984127,126
539,List,1656.559594153777,1,Bayern,4,female,1964,0.752851711026616,31.319391634980988,263
617,Direct,16513.361332782053,1,Baden-Württemberg,NA,male,1975,0.6356275303643725,38.921052631578945,494
623,List,12167.045795945542,1,Rheinland-Pfalz,3,female,1968,0.4827586206896552,133.79310344827587,87
625,List,3137.953203971366,1,Rheinland-Pfalz,5,female,1953,0.8772455089820359,26.51197604790419,334
631,List,10514.119223408437,0,Bayern,5,female,1963,0.484375,88.78125,128
663,Direct,8358.230356856762,1,Baden-Württemberg,NA,male,1952,0.4625,87.9875,80
671,Direct,12575.678751071777,1,Hessen,5,male,1974,0.8207171314741036,26.07569721115538,251
675,List,9898.740379524505,1,Mecklenburg-Vorpommern,1,male,1958,0.18461538461538463,264,130
718,List,23538.650435910284,0,Bayern,11,female,1987,0.513986013986014,52.63986013986014,286
761,List,774.4576597197047,0,Hamburg,1,male,1958,0.7142857142857143,114.28571428571429,14
805,List,793.4965989627477,0,Bayern,9,female,1959,0.57,89.96,100
822,Direct,266.61097395492425,0,Berlin,NA,female,1966,0.8201438848920863,62.22062350119904,417
925,List,23446.13900371098,0,Niedersachsen,2,male,1969,0.4725274725274725,83.45054945054945,182
926,List,1017.0679586826636,0,Nordrhein-Westfalen,19,male,1967,0.7431192660550459,42.4954128440367,109
928,List,860.9338936323527,0,Hessen,1,female,1970,0.3850574712643678,106.2816091954023,174
933,Direct,15712.207055833373,1,Niedersachsen,26,male,1981,0.8122555410691004,17.514993481095175,767
1048,Direct,3023.860762514708,1,Nordrhein-Westfalen,28,female,1961,0.8426966292134831,22.749063670411985,267
1111,Direct,19092.840835809337,1,Niedersachsen,22,male,1972,0.7325581395348837,27.709302325581394,86
1146,List,1734.4718276979581,0,Baden-Württemberg,9,male,1972,0.16962524654832348,169.0078895463511,507
1158,Direct,12958.737663366896,0,Schleswig-Holstein,8,female,1976,0.7928994082840237,22.40532544378698,338
1160,Direct,4136.7680621668615,0,Sachsen-Anhalt,7,male,1984,0.4146341463414634,51.52845528455285,123
1201,List,12958.737663366896,0,Schleswig-Holstein,2,male,1978,0.03180914512922465,134.94433399602386,503
1207,Direct,2225.236105272511,1,Nordrhein-Westfalen,50,male,1970,0.7741935483870968,34.438709677419354,310
1223,Direct,5609.09241171024,0,Baden-Württemberg,NA,male,1979,0.923784494086728,7.64257555847569,761
1273,Direct,3601.411697600971,1,Baden-Württemberg,6,male,1979,0.5843373493975904,32.74096385542169,332
