cand_id,elected_via,area_district,incumbent,list_state,list_no,gender,birthyear,mean_share_mp,mean_distance,n
82,List,11315.914798841355,0,Niedersachsen,3,male,1965,0.1111111111111111,193.88888888888889,18
218,Direct,8902.510515739217,1,Saarland,1,male,1958,0.19230769230769232,164.73076923076923,26
259,List,4515.332617648171,1,Baden-Württemberg,1,female,1968,0.5555555555555556,104.44444444444444,18
280,Direct,497.3026168085664,1,Hamburg,4,male,1973,0.812206572769953,50.44600938967136,213
390,List,21556.816543515586,0,Schleswig-Holstein,3,female,1959,0.6666666666666666,60.857142857142854,21
524,List,9993.58446508411,0,Bayern,11,female,1983,0.46875,99.75,32
530,List,6703.896938307044,1,Brandenburg,1,female,1980,0.13636363636363635,268.70454545454544,88
617,Direct,16513.361332782053,1,Baden-Württemberg,NA,male,1975,0.35260115606936415,111.76300578034682,173
623,List,12167.045795945542,1,Rheinland-Pfalz,3,female,1968,0.14130434782608695,189.70652173913044,92
631,List,10514.119223408437,0,Bayern,5,female,1963,0.48863636363636365,82.22727272727273,88
667,Direct,774.4576597197047,1,Hamburg,6,male,1959,0.8235294117647058,29.764705882352942,34
671,Direct,12575.678751071777,1,Hessen,5,male,1974,0.33766233766233766,126.8051948051948,77
675,List,9898.740379524505,1,Mecklenburg-Vorpommern,1,male,1958,0.1553398058252427,265.20388349514565,206
689,Direct,1178.7718047908202,1,Nordrhein-Westfalen,32,female,1968,0.8828828828828829,20.855855855855857,222
718,List,23538.650435910284,0,Bayern,11,female,1987,0.3125,107.5,16
805,List,793.4965989627477,0,Bayern,9,female,1959,0.64,46.4,25
812,List,5052.766032122615,0,Baden-Württemberg,12,male,1983,0.06711409395973154,124.61744966442953,149
822,Direct,266.61097395492425,0,Berlin,NA,female,1966,0.8046181172291297,68.64653641207815,563
926,List,1017.0679586826636,0,Nordrhein-Westfalen,19,male,1967,0.25,117.75,20
928,List,860.9338936323527,0,Hessen,1,female,1970,0.2743362831858407,187.46017699115043,113
933,Direct,15712.207055833373,1,Niedersachsen,26,male,1981,0.16666666666666666,125.16666666666667,12
1146,List,1734.4718276979581,0,Baden-Württemberg,9,male,1972,0.22167487684729065,135.8768472906404,203
1201,List,12958.737663366896,0,Schleswig-Holstein,2,male,1978,0.02588235294117647,218.51294117647058,425
1223,Direct,5609.09241171024,0,Baden-Württemberg,NA,male,1979,0.8787878787878788,15.18939393939394,132
1273,Direct,3601.411697600971,1,Baden-Württemberg,6,male,1979,0.536144578313253,33.31927710843374,166
1294,List,3043.810297100037,1,Baden-Württemberg,4,male,1950,0.5106382978723404,89.53191489361703,47
